%1. Title: Bundesliga Spielprognose
	@RELATION spiel

%Letzte drei Spiele
	@ATTRIBUTE tore NUMERIC
	@ATTRIBUTE gegentore NUMERIC
%Letzte fuenf Spiele
	@ATTRIBUTE niederlagen NUMERIC
	@ATTRIBUTE steigung NUMERIC
	@ATTRIBUTE heimvorteil {heim,gast}
	@ATTRIBUTE tag {montag,dienstag,mittwoch,donnerstag,freitag,samstag,sonntag}
	@ATTRIBUTE ausgang {sieg,niederlage,unentschieden}

	@DATA
	3,3,2,2,gast,sonntag,sieg
	4,2,2,1,heim,sonntag,niederlage
	7,4,2,-1,gast,sonntag,sieg
	5,5,2,-1,gast,sonntag,niederlage
	2,6,1,1,heim,sonntag,sieg
	6,3,3,-2,gast,samstag,niederlage
	4,6,0,0,heim,samstag,sieg
	3,5,0,0,gast,samstag,niederlage
	1,7,0,-1,heim,samstag,sieg
	4,4,2,-1,heim,samstag,niederlage
	8,3,4,2,gast,samstag,sieg
	6,4,2,1,heim,samstag,niederlage
	4,2,2,0,gast,samstag,sieg
	3,4,1,1,gast,samstag,niederlage
	5,5,2,-1,heim,samstag,sieg
	4,2,2,-4,gast,samstag,unentschieden
	3,8,0,0,heim,samstag,unentschieden
	6,4,3,-1,gast,samstag,sieg
	4,7,0,-1,heim,samstag,niederlage
	4,1,3,0,heim,samstag,sieg
	7,2,4,-2,gast,samstag,niederlage
	4,5,1,-1,heim,samstag,sieg
	2,4,2,-3,gast,samstag,niederlage
	3,4,2,-3,gast,samstag,sieg
	6,3,3,-2,heim,samstag,niederlage
	4,9,0,1,gast,samstag,sieg
	6,1,3,0,heim,samstag,niederlage
	6,4,1,0,heim,samstag,unentschieden
	2,7,0,0,gast,samstag,unentschieden
	7,8,3,2,gast,samstag,niederlage
	3,8,1,2,heim,samstag,sieg
	4,9,0,0,gast,samstag,unentschieden
	4,4,1,0,heim,samstag,unentschieden
	6,2,3,-5,gast,sonntag,unentschieden
	7,4,2,1,heim,sonntag,unentschieden
	4,8,2,0,heim,sonntag,sieg
	2,4,2,-2,gast,sonntag,niederlage
	5,3,1,1,heim,samstag,niederlage
	8,3,3,-2,gast,samstag,sieg
	8,3,3,-1,gast,freitag,sieg
	2,8,1,-5,heim,freitag,niederlage
	2,9,1,0,heim,freitag,niederlage
	3,2,1,1,gast,freitag,sieg
	8,1,3,-2,gast,freitag,niederlage
	3,2,2,1,heim,freitag,sieg
	4,6,3,0,gast,freitag,unentschieden
	4,4,3,1,heim,freitag,unentschieden
	5,5,2,2,heim,montag,niederlage
	4,4,0,2,gast,montag,sieg
	7,2,3,1,gast,freitag,niederlage
	6,7,1,0,heim,freitag,sieg
	3,7,0,-1,heim,samstag,niederlage
	2,2,2,-4,gast,samstag,sieg
	5,0,3,1,gast,samstag,niederlage
	2,4,1,-1,heim,samstag,sieg
	4,5,2,1,gast,sonntag,sieg
	5,3,1,-1,heim,sonntag,niederlage
	4,8,1,3,gast,sonntag,unentschieden
	3,4,1,0,heim,sonntag,unentschieden
	2,7,1,-2,gast,sonntag,niederlage
	3,3,2,0,heim,sonntag,sieg
	6,2,4,1,heim,samstag,niederlage
	4,7,0,2,gast,samstag,sieg
	2,1,3,-2,gast,samstag,niederlage
	4,7,3,-2,heim,samstag,sieg
	5,5,1,3,gast,samstag,sieg
	3,3,1,0,heim,samstag,niederlage
	6,2,2,3,heim,samstag,niederlage
	6,5,1,1,gast,samstag,sieg
	3,6,2,-2,heim,samstag,sieg
	1,8,1,-1,gast,samstag,niederlage
	2,2,2,0,heim,samstag,niederlage
	3,4,3,-2,gast,samstag,sieg
	7,1,3,2,gast,samstag,sieg
	8,4,3,-1,heim,samstag,niederlage
	5,3,2,1,heim,sonntag,unentschieden
	3,6,0,1,gast,sonntag,unentschieden
	1,9,0,0,gast,sonntag,niederlage
	6,4,4,2,heim,sonntag,sieg
	5,2,2,1,gast,samstag,sieg
	6,2,4,2,heim,samstag,niederlage
	6,2,3,-5,gast,samstag,niederlage
	10,6,3,2,heim,samstag,sieg
	5,2,4,-1,heim,samstag,niederlage
	4,8,1,-1,gast,samstag,sieg
	6,7,1,-1,gast,samstag,niederlage
	1,4,1,0,heim,samstag,sieg
	4,7,1,1,gast,samstag,sieg
	4,9,0,1,heim,samstag,niederlage
	10,5,1,1,gast,sonntag,niederlage
	1,6,0,-1,heim,sonntag,sieg
	4,3,2,-1,heim,sonntag,niederlage
	4,4,1,-2,gast,sonntag,sieg
